BioSample	Runs	Assembly_Method	Country	Exact	Iso2	UN	Lineage	Per_Mis	sample_lon	sample_lat	precision	NearPost	NearPost_lon	NearPost_lat	Level2	Level1
ERS458344	ERR552838	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.6	116.836998	39.7080994	Random	Tongzhou	116.5994	39.9053	China	Asia-Temperate
SRS490597	"SRR1011503,SRR1019178"	reference guided alignment	Taiwan	NA	TW	Eastern-Asia	2	13.4	121.8570023	25.0533009	Random	Taipei	121.516098	25.04744	Eastern Asia	Asia-Temperate
SRS490603	"SRR1011510,SRR1019185"	reference guided alignment	Taiwan	NA	TW	Eastern-Asia	2	13.5	121.0630035	24.8565006	Random	Taipei	121.516098	25.04744	Eastern Asia	Asia-Temperate
SRS490606	"SRR1011514,SRR1019188"	reference guided alignment	Taiwan	NA	TW	Eastern-Asia	2	13.3	120.8649979	23.4253998	Random	Taipei	121.516098	25.04744	Eastern Asia	Asia-Temperate
SRS490612	"SRR1019194,SRR1011524"	reference guided alignment	Taiwan	NA	TW	Eastern-Asia	2	13.3	121.387001	23.6989002	Random	Taipei	121.516098	25.04744	Eastern Asia	Asia-Temperate
ERS003236	ERR015614	reference guided alignment	Russia	NA	RU	Eastern-Europe	2	13.5	41.8376999	56.2234001	Random	loc70-tmc051117	39.9	59.2167	Siberia	Asia-Temperate
ERS003237	ERR015616	reference guided alignment	Russia	NA	RU	Eastern-Europe	2	13.4	136.3070068	49.0937004	Random	Kaiyuan	124.0817	42.5975	Siberia	Asia-Temperate
ERS094104	ERR133815	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.3	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS094247	ERR133958	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.3	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS181456	ERR228062	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.4	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS181519	ERR229970	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.3	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS181548	ERR229999	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.3	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS457030	ERR551007	reference guided alignment	Poland	NA	PL	Eastern-Europe	2	13.3	22.2064991	54.3143997	Random	Konigsberg	20.5	54.716667	Middle Europe	Europe
ERS457094	ERR551090	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.5	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS457179	ERR551212	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.5	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS457252	ERR551311	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.4	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS457716	"ERR551956,ERR551957"	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.4	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS457840	ERR552136	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.4	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS457843	ERR552141	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.4	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS458044	ERR552429	reference guided alignment	Russia	Samara	RU	Eastern-Europe	2	13.4	50.22	53.24	Exact	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
SRS555885	"SRR1169151,SRR1166145"	reference guided alignment	Moldova	Chisinau	MD	Eastern-Europe	2	13.5	28.86	47.01	Exact	loc28-tmc051117	29.6433	46.8403	Eastern Europe	Europe
SRS555911	"SRR1169036,SRR1166187"	reference guided alignment	Moldova	Chisinau	MD	Eastern-Europe	2	13.3	28.86	47.01	Exact	loc28-tmc051117	29.6433	46.8403	Eastern Europe	Europe
ERS456985	"ERR550947,ERR550946"	reference guided alignment	Papua New Guinea	NA	PG	Melanesia	2	13.3	152.0690002	-4.8888402	Random	Port Moresby	147.193039	-9.46332	Papuasia	Asia-Tropical
ERS457514	"ERR551681,ERR551680"	reference guided alignment	Kiribati	NA	KI	Micronesia	2	13.4	NA	NA	NA	NA	NA	NA	NA	Pacific
ERS457522	ERR551688	reference guided alignment	Kiribati	NA	KI	Micronesia	2	13.8	NA	NA	NA	NA	NA	NA	NA	Pacific
ERS458055	"ERR552444,ERR552445"	reference guided alignment	Kiribati	NA	KI	Micronesia	2	13.7	NA	NA	NA	NA	NA	NA	NA	Pacific
ERS458387	"ERR552894,ERR552895"	reference guided alignment	Kiribati	NA	KI	Micronesia	2	13.5	NA	NA	NA	NA	NA	NA	NA	Pacific
AMXW02	AMXW00000000.2	multiple genome alignment	Malaysia	University Malaya Medical Center	MY	South-Eastern-Asia	2	17.9	101.65	3.11	Exact	Kadaram	102.962616	2.5490005	Malesia	Asia-Tropical
ERS217645	ERR233357	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	14.5	104.1190033	19.2464008	Random	loc02-tmc020719	102.599998	15.816667	Indo-China	Asia-Tropical
ERS217658	ERR233370	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	14.8	108.1819992	12.8004999	Random	loc12-tmc020719	107.6167	10.6	Indo-China	Asia-Tropical
ERS218241	ERR234190	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.7	104.9349976	21.4134007	Random	Weimo	104.2469	23.7992	Indo-China	Asia-Tropical
ERS218244	ERR234193	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.8	107.1549988	16.2929001	Random	Da Nang	108.221	16.0678	Indo-China	Asia-Tropical
ERS218259	ERR234208	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.4	107.4309998	15.5167999	Random	Da Nang	108.221	16.0678	Indo-China	Asia-Tropical
ERS218260	ERR234209	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	14.2	105.8600006	19.7607002	Random	Nanning	108.3167	22.8167	Indo-China	Asia-Tropical
ERS218261	ERR234210	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.6	108.3440018	12.8767996	Random	loc12-tmc020719	107.6167	10.6	Indo-China	Asia-Tropical
ERS218262	ERR234211	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.5	108.012001	14.7855997	Random	Da Nang	108.221	16.0678	Indo-China	Asia-Tropical
ERS218264	ERR234213	reference guided alignment	Indonesia	NA	ID	South-Eastern-Asia	2	15	112.2870026	0.247744	Random	Bintulu	113.068398	3.19706	Malesia	Asia-Tropical
ERS218267	ERR234216	reference guided alignment	Laos	NA	LA	South-Eastern-Asia	2	14.4	102.6969986	21.0529003	Random	Jinghong	100.8167	21.9833	Indo-China	Asia-Tropical
ERS218293	ERR234242	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	14.6	106.8610001	16.632	Random	Da Nang	108.221	16.0678	Indo-China	Asia-Tropical
ERS218296	ERR234245	reference guided alignment	Cambodia	NA	KH	South-Eastern-Asia	2	13.3	104.4089966	12.0662003	Random	loc08-tmc020719	104.51667	12.05	Indo-China	Asia-Tropical
ERS218297	ERR234246	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.4	105.1259995	21.2705994	Random	Weimo	104.2469	23.7992	Indo-China	Asia-Tropical
ERS218298	ERR234247	reference guided alignment	Indonesia	NA	ID	South-Eastern-Asia	2	13.5	100.3430023	0.423056	Random	Barus	98.399406	2.012441	Malesia	Asia-Tropical
ERS218300	ERR234249	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.4	102.6940002	22.1548004	Random	loc34-tmc060201	102.7478	23.1542	Indo-China	Asia-Tropical
ERS218301	ERR234250	reference guided alignment	Singapore	NA	SG	South-Eastern-Asia	2	13.3	103.9720001	1.36625	Random	Kadaram	102.962616	2.5490005	Malesia	Asia-Tropical
ERS218314	ERR234263	reference guided alignment	Cambodia	NA	KH	South-Eastern-Asia	2	13.4	104.8040009	11.4629002	Random	Phnom Penh	104.916656	11.55	Indo-China	Asia-Tropical
ERS456836	ERR550738	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.6	105.7200012	19.8565998	Random	Nanning	108.3167	22.8167	Indo-China	Asia-Tropical
ERS456982	"ERR550941,ERR550940"	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	2	13.5	99.6966019	19.1800995	Random	Jinghong	100.8167	21.9833	Indo-China	Asia-Tropical
ERS457090	ERR551086	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.4	106.0660019	10.4713001	Random	loc11-tmc020719	106.366669	11.033333	Indo-China	Asia-Tropical
ERS457142	"ERR551156,ERR551155"	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	2	13.4	100.2929993	20.3225002	Random	Jinghong	100.8167	21.9833	Indo-China	Asia-Tropical
ERS457191	ERR551225	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	2	13.4	102.8740005	16.5046997	Random	loc02-tmc020719	102.599998	15.816667	Indo-China	Asia-Tropical
ERS457528	"ERR551693,ERR551694"	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.5	108.9960022	12.1592999	Random	loc12-tmc020719	107.6167	10.6	Indo-China	Asia-Tropical
ERS457697	"ERR551928,ERR551927"	reference guided alignment	Indonesia	NA	ID	South-Eastern-Asia	2	13.5	119.9100037	-9.4453402	Random	Pane	118.732842	-8.45679	Malesia	Asia-Tropical
ERS457699	ERR551930	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	2	13.4	103.1610031	17.9179993	Random	loc02-tmc020719	102.599998	15.816667	Indo-China	Asia-Tropical
ERS457876	ERR552190	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	2	13.4	102.6060028	17.0911007	Random	loc02-tmc020719	102.599998	15.816667	Indo-China	Asia-Tropical
ERS458128	"ERR552550,ERR552549"	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	2	13.5	102.2080002	14.9073	Random	Phimai	102.5	15.216667	Indo-China	Asia-Tropical
ERS458225	ERR552689	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	2	14.1	103.2340012	16.9314995	Random	loc02-tmc020719	102.599998	15.816667	Indo-China	Asia-Tropical
ERS458282	ERR552755	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.6	107.6839981	13.8004999	Random	Da Nang	108.221	16.0678	Indo-China	Asia-Tropical
ERS458337	ERR552830	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.7	104.6439972	19.0631008	Random	loc02-tmc020719	102.599998	15.816667	Indo-China	Asia-Tropical
ERS458396	ERR552912	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.4	108.8010025	14.9005003	Random	Da Nang	108.221	16.0678	Indo-China	Asia-Tropical
ERS458667	"ERR553274,ERR553275"	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	2	13.5	98.3076019	14.9380999	Random	loc06-tmc020719	101.366669	14.05	Indo-China	Asia-Tropical
ERS458670	ERR553277	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	2	13.5	106.8170013	21.8791008	Random	Nanning	108.3167	22.8167	Indo-China	Asia-Tropical
ERS458692	ERR553304	reference guided alignment	Myanmar	NA	MM	South-Eastern-Asia	2	14.4	97.0718002	24.5709	Random	Tengchong	98.4667	25.0333	Indo-China	Asia-Tropical
JWIA01	JWIA00000000.1	multiple genome alignment	Thailand	Kanchanaburi Province	TH	South-Eastern-Asia	2	18.3	99.53	14.02	Exact	loc06-tmc020719	101.366669	14.05	Indo-China	Asia-Tropical
ERS456837	ERR550739	reference guided alignment	South Africa	NA	ZA	Southern-Africa	2	13.3	18.5396996	-32.4333	Random	Port Elizabeth	25.6232395	-33.9624214	Southern Africa	Africa
ERS457077	ERR551071	reference guided alignment	Swaziland	NA	SZ	Southern-Africa	2	13.4	31.7525005	-27.1494999	Random	Maputo	32.6102982	-25.8679008	Southern Africa	Africa
ERS457084	ERR551079	reference guided alignment	Swaziland	NA	SZ	Southern-Africa	2	13.6	31.1975994	-26.7803001	Random	Maputo	32.6102982	-25.8679008	Southern Africa	Africa
ERS457264	ERR619080	reference guided alignment	Swaziland	NA	SZ	Southern-Africa	2	13.4	31.9437008	-26.2530003	Random	Maputo	32.6102982	-25.8679008	Southern Africa	Africa
ERS457643	"ERR551854,ERR551855"	reference guided alignment	Swaziland	NA	SZ	Southern-Africa	2	13.5	31.5993996	-26.8689995	Random	Maputo	32.6102982	-25.8679008	Southern Africa	Africa
ERS458268	ERR552743	reference guided alignment	Swaziland	NA	SZ	Southern-Africa	2	13.7	31.5827007	-26.8614006	Random	Maputo	32.6102982	-25.8679008	Southern Africa	Africa
ERS458554	ERR553116	reference guided alignment	Swaziland	NA	SZ	Southern-Africa	2	13.7	31.6247005	-26.5412998	Random	Maputo	32.6102982	-25.8679008	Southern Africa	Africa
ERS458582	ERR553156	reference guided alignment	Swaziland	NA	SZ	Southern-Africa	2	14.2	31.3344002	-25.7649994	Random	Maputo	32.6102982	-25.8679008	Southern Africa	Africa
ERS458700	ERR553313	reference guided alignment	Swaziland	NA	SZ	Southern-Africa	2	13.6	31.9866009	-26.4699001	Random	Maputo	32.6102982	-25.8679008	Southern Africa	Africa
ERS458709	ERR553324	reference guided alignment	Swaziland	NA	SZ	Southern-Africa	2	13.4	31.5379009	-26.5832996	Random	Maputo	32.6102982	-25.8679008	Southern Africa	Africa
SRS454488	"SRR958234,SRR924709"	reference guided alignment	South Africa	Rietvlei	ZA	Southern-Africa	2	13.3	28.29	-25.9	Exact	Maputo	32.6102982	-25.8679008	Southern Africa	Africa
SRS494386	"SRR1140947,SRR1019148"	reference guided alignment	South Africa	Thulasizwe Hopsital	ZA	Southern-Africa	2	13.3	31.4	-27.97	Exact	Durban	30.9873199	-29.8491802	Southern Africa	Africa
ERS217663	ERR233375	reference guided alignment	Nepal	NA	NP	Southern-Asia	2	13.4	86.1043015	27.7420998	Random	loc44-tmc040220	85.900002	27.783333	Indian Subcontinent	Asia-Tropical
ERS217674	ERR233386	reference guided alignment	India	Mumbai	IN	Southern-Asia	2	13.6	72.88	19.08	Exact	Bombay	72.8258	18.975	Indo-China	Asia-Tropical
ERS217676	ERR233388	reference guided alignment	Nepal	NA	NP	Southern-Asia	2	13.6	82.5656967	27.7910004	Random	loc26-tmc040220	83.349998	29.966667	Indian Subcontinent	Asia-Tropical
ERS457399	ERR551520	reference guided alignment	Nepal	NA	NP	Southern-Asia	2	13.3	85.1389999	27.8612003	Random	Kathmandu	85.316666	27.716667	Indian Subcontinent	Asia-Tropical
ERS457835	ERR552130	reference guided alignment	Afghanistan	NA	AF	Southern-Asia	2	13.5	60.735199	34.1946983	Random	loc05-tmc010512	62.2	34.333	Western Asia	Asia-Temperate
ERS458527	"ERR553082,ERR553081"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.4	45.2946014	38.4810982	Random	Tabriz	46.291943	38.080002	Western Asia	Asia-Temperate
ERS458544	ERR553107	reference guided alignment	India	NA	IN	Southern-Asia	2	13.5	94.3648987	27.5604992	Random	loc64-tmc040220	94.083336	29.200001	Indo-China	Asia-Tropical
ERS458590	ERR553171	reference guided alignment	Nepal	NA	NP	Southern-Asia	2	13.4	81.8401031	29.2068005	Random	loc24-tmc040220	82.833336	30.366667	Indian Subcontinent	Asia-Tropical
JDVY01	JDVY00000000.1	multiple genome alignment	India	Chennai	IN	Southern-Asia	2	18.2	80.27	13.08	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559431	"SRR1172034,SRR1172091,SRR1183088"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	61.0335007	35.9325981	Random	loc18-tmc040123	61.159443	36.549442	Western Asia	Asia-Temperate
SRS559457	"SRR1172183,SRR1172288,SRR1180141,SRR1183064"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	50.6169014	32.598999	Random	Isfahan	51.672501	32.655277	Western Asia	Asia-Temperate
SRS559458	"SRR1172188,SRR1172348,SRR1180211,SRR1183029"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	61.0769005	35.6706009	Random	loc18-tmc040123	61.159443	36.549442	Western Asia	Asia-Temperate
SRS559475	"SRR1172289,SRR1174894,SRR1180230,SRR1183028"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	50.5038986	33.5229988	Random	Kashan	51.447498	33.983612	Western Asia	Asia-Temperate
SRS559476	"SRR1172305,SRR1174896,SRR1180185,SRR1183041"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	53.577301	35.2261009	Random	loc24-tmc040123	52.340557	35.222221	Western Asia	Asia-Temperate
SRS559607	"SRR1172711,SRR1173722"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	53.8204994	30.5137005	Random	Persepolis	52.889721	29.935833	Western Asia	Asia-Temperate
SRS559672	"SRR1172798,SRR1175131"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	2	13.3	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559869	"SRR1173131,SRR1173875"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	57.604599	33.9362984	Random	Tabas	56.9225	33.5883	Western Asia	Asia-Temperate
SRS559873	SRR1173140	reference guided alignment	Iran	NA	IR	Southern-Asia	2	15.9	60.9295006	30.8304005	Random	Neh	60.07	31.565277	Western Asia	Asia-Temperate
SRS559892	"SRR1173192,SRR1173793"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	62.5551987	27.4431	Random	Zahedan	60.87278	29.497778	Western Asia	Asia-Temperate
SRS559947	"SRR1173347,SRR1173868"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	48.9234009	34.020401	Random	Laodicea	48.35	34.217	Western Asia	Asia-Temperate
SRS559963	"SRR1173393,SRR1174307"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	14.4	56.5186996	36.2831001	Random	loc21-tmc040123	57.671944	36.219723	Western Asia	Asia-Temperate
SRS559981	"SRR1173446,SRR1173842"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	16.2	50.3946991	36.8070984	Random	Qazvin	50.016945	36.262222	Western Asia	Asia-Temperate
SRS560014	"SRR1173552,SRR1174308"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	51.3675995	29.093399	Random	Bushire	50.8381	28.975	Western Asia	Asia-Temperate
SRS560036	"SRR1173628,SRR1173792"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	56.7723999	29.1152	Random	Carmana	57.079445	30.292778	Western Asia	Asia-Temperate
SRS560053	"SRR1173675,SRR1173750"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	51.9211006	31.9967995	Random	Isfahan	51.672501	32.655277	Western Asia	Asia-Temperate
SRS560058	"SRR1173684,SRR1174328"	reference guided alignment	Iran	NA	IR	Southern-Asia	2	13.3	61.2849998	28.2057991	Random	Zahedan	60.87278	29.497778	Western Asia	Asia-Temperate
SRS560065	SRR1173695	reference guided alignment	Iran	NA	IR	Southern-Asia	2	18.1	47.4625015	36.5488014	Random	loc04-tmc010103	49.337502	36.620556	Western Asia	Asia-Temperate
ERS248010	ERR275215	reference guided alignment	Portugal	NA	PT	Southern-Europe	2	13.3	-7.3330798	41.4738007	Random	Santiago de Compostela	-8.55	42.883331	Macaronesia	Africa
ERS248011	ERR275216	reference guided alignment	Portugal	NA	PT	Southern-Europe	2	13.3	-8.8017502	39.4998016	Random	loc90-tmc051117	-8.2	39.4667	Macaronesia	Africa
ERS457295	"ERR551369,ERR551370"	reference guided alignment	Bosnia	NA	BA	Southern-Europe	2	13.5	17.1280003	44.9692993	Random	Salonae	16.5	43.549999	Southeastern Europe	Europe
ERS457325	ERR551412	reference guided alignment	Sierra Leone	NA	SL	Western-Africa	2	13.7	-12.3895998	7.7079601	Random	Bamako	-7.983	12.667	West Tropical Africa	Africa
ERS457703	ERR551934	reference guided alignment	Nigeria	NA	NG	Western-Africa	2	13.3	12.4138002	10.5958996	Random	loc02-tmc010322	15.9667	13.1833	West Tropical Africa	Africa
SRS703247	"SRR1577806,SRR1577830"	reference guided alignment	Mali	NA	ML	Western-Africa	2	13.3	-1.74954	15.3675003	Random	Timbuktu	-3.016667	16.766666	West Tropical Africa	Africa
ERS456782	ERR550670	reference guided alignment	Georgia	Abkhazia	GE	Western-Asia	2	13.7	41.02	43	Exact	loc04-tmc010201	41.033333	43	Caucasus	Asia-Temperate
ERS457425	ERR551554	reference guided alignment	Georgia	Abkhazia	GE	Western-Asia	2	13.3	41.02	43	Exact	loc04-tmc010201	41.033333	43	Caucasus	Asia-Temperate
ERS457879	ERR552194	reference guided alignment	Azerbaijan	NA	AZ	Western-Asia	2	13.4	46.9384003	41.3512001	Random	Tbilisi	44.784443	41.717777	Caucasus	Asia-Temperate
ERS457894	ERR552219	reference guided alignment	Georgia	Abkhazia	GE	Western-Asia	2	13.7	41.02	43	Exact	loc04-tmc010201	41.033333	43	Caucasus	Asia-Temperate
ERS458079	ERR552482	reference guided alignment	Georgia	Abkhazia	GE	Western-Asia	2	13.4	41.02	43	Exact	loc04-tmc010201	41.033333	43	Caucasus	Asia-Temperate
ERS458638	ERR553237	reference guided alignment	Georgia	Abkhazia	GE	Western-Asia	2	13.6	41.02	43	Exact	loc04-tmc010201	41.033333	43	Caucasus	Asia-Temperate
JHUF01	JHUF00000000.1	multiple genome alignment	Georgia	Tbilissi	GE	Western-Asia	2	17.9	44.83	41.72	Exact	Tbilisi	44.784443	41.717777	Caucasus	Asia-Temperate
ERS456765	"ERR550643,ERR550644"	reference guided alignment	Germany	NA	DE	Western-Europe	2	13.5	14.2925997	51.2439995	Random	Budziszyn	14.433333	51.183334	Middle Europe	Europe
ERS457161	"ERR551184,ERR551185"	reference guided alignment	Germany	NA	DE	Western-Europe	2	13.6	7.6726899	50.5332985	Random	Koblenz	7.6	50.35	Middle Europe	Europe
ERS457420	ERR551549	reference guided alignment	Germany	NA	DE	Western-Europe	2	13.4	9.5738096	54.2711983	Random	Schleswig	9.55	54.516666	Middle Europe	Europe
ERS457438	ERR551572	reference guided alignment	Germany	NA	DE	Western-Europe	2	13.6	7.4398298	50.7911987	Random	Bonn	7.1	50.7333	Middle Europe	Europe
ERS457737	ERR551990	reference guided alignment	Germany	NA	DE	Western-Europe	2	13.4	8.3236599	49.1072006	Random	Heidelberg	8.7	49.4167	Middle Europe	Europe
ERS457807	ERR552090	reference guided alignment	Germany	NA	DE	Western-Europe	2	13.3	13.9443998	52.5028992	Random	Kopanica	13.566667	52.450001	Middle Europe	Europe
ERS458132	ERR552555	reference guided alignment	Germany	NA	DE	Western-Europe	2	13.4	8.8639603	49.7258987	Random	Miltenberg	9.2644	49.7039	Middle Europe	Europe
ERS458211	ERR552668	reference guided alignment	Germany	NA	DE	Western-Europe	2	15.6	6.7109499	49.9585991	Random	Murlenbach	6.6	50.15	Middle Europe	Europe
ERS458427	ERR552949	reference guided alignment	Germany	NA	DE	Western-Europe	2	14.1	9.8116703	53.8031998	Random	Hamburg	10	53.55	Middle Europe	Europe
ERS458431	ERR552954	reference guided alignment	Germany	NA	DE	Western-Europe	2	13.4	9.6451302	54.2182999	Random	Neumunster	9.9833	54.0667	Middle Europe	Europe
ERS218246	ERR234195	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	3	13.7	58.8158989	38.5317001	Random	loc03-tmc010512	59.59861	36.305	Middle Asia	Asia-Temperate
ERS019846	ERR245793	reference guided alignment	Malawi	NA	MW	Eastern-Africa	3	13.3	33.6925011	-12.3848	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS023446	ERR040123	reference guided alignment	Uganda	Kampala	UG	Eastern-Africa	3	13.2	32.58	0.35	Exact	Addis Ababa	38.7444992	9.0335999	East Tropical Africa	Africa
ERS023459	ERR040136	reference guided alignment	Uganda	Kampala	UG	Eastern-Africa	3	13.4	32.58	0.35	Exact	Addis Ababa	38.7444992	9.0335999	East Tropical Africa	Africa
ERS1028682	ERR1200607	reference guided alignment	Ethiopia	Woldiya	ET	Eastern-Africa	3	15.6	39.6	11.83	Exact	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS1028684	ERR1200609	reference guided alignment	Ethiopia	Woldiya	ET	Eastern-Africa	3	14.2	39.6	11.83	Exact	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS1028705	ERR1200630	reference guided alignment	Ethiopia	Negelle	ET	Eastern-Africa	3	14.6	38.67	7.36	Exact	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS1028713	ERR1200638	reference guided alignment	Ethiopia	Negelle	ET	Eastern-Africa	3	14.8	38.67	7.36	Exact	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS108133	ERR161200	reference guided alignment	Malawi	NA	MW	Eastern-Africa	3	13.1	34.0569992	-11.1068001	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS142212	ERR181693	reference guided alignment	Malawi	NA	MW	Eastern-Africa	3	13.2	33.8429985	-12.5145998	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS142694	ERR190394	reference guided alignment	Malawi	NA	MW	Eastern-Africa	3	13.2	33.8028984	-10.0059996	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS217635	ERR233347	reference guided alignment	Ethiopia	Woldiya	ET	Eastern-Africa	3	14.2	39.6	11.83	Exact	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS218204	ERR234153	reference guided alignment	Eritrea	NA	ER	Eastern-Africa	3	17.7	38.0779991	15.7660999	Random	Adulis	39.75	15.266667	Northeast Tropical Africa	Africa
ERS218213	ERR234162	reference guided alignment	Tanzania	NA	TZ	Eastern-Africa	3	13.2	35.6374016	-6.09026	Random	Kilwa	39.522778	-8.957778	East Tropical Africa	Africa
ERS218217	ERR234166	reference guided alignment	Tanzania	NA	TZ	Eastern-Africa	3	13.6	37.0056	-4.0685501	Random	Kilwa	39.522778	-8.957778	East Tropical Africa	Africa
ERS218218	ERR234167	reference guided alignment	Tanzania	NA	TZ	Eastern-Africa	3	13.2	38.6273994	-10.6276999	Random	Kilwa	39.522778	-8.957778	East Tropical Africa	Africa
ERS218269	ERR234218	reference guided alignment	Ethiopia	NA	ET	Eastern-Africa	3	13.5	38.3060989	9.5683203	Random	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS003250	ERR015615	reference guided alignment	Russia	NA	RU	Eastern-Europe	3	13.2	43.0671997	52.3828011	Random	loc54-tmc051117	44.5858	48.8047	Siberia	Asia-Temperate
ERS218270	ERR234219	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	3	13.5	104.2170029	19.5646	Random	loc34-tmc060201	102.7478	23.1542	Indo-China	Asia-Tropical
SRS490577	"SRR1062848,SRR1011477"	reference guided alignment	South Africa	NA	ZA	Southern-Africa	3	13.2	21.6699009	-27.4521999	Random	Port Elizabeth	25.6232395	-33.9624214	Southern Africa	Africa
